Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
27.75,-4.62E+09,3.80E+09,-8.21E+08
27.8,-4.54E+09,3.82E+09,-7.15E+08
27.85,-4.46E+09,3.78E+09,-6.88E+08
27.95,-4.28E+09,3.76E+09,-5.23E+08
28,-4.22E+09,3.76E+09,-4.60E+08
28.05,-4.13E+09,3.73E+09,-4.05E+08
28.1,-4.07E+09,3.74E+09,-3.32E+08
28.15,-4.01E+09,3.71E+09,-3.01E+08
28.25,-3.84E+09,3.69E+09,-1.51E+08
28.3,-3.77E+09,3.68E+09,-9.24E+07
28.35,-3.65E+09,3.67E+09,1.62E+07
28.4,-3.67E+09,3.65E+09,-1.96E+07
28.45,-3.48E+09,3.64E+09,1.61E+08
28.55,-3.35E+09,3.61E+09,2.61E+08
28.6,-3.24E+09,3.60E+09,3.56E+08
28.65,-3.15E+09,3.60E+09,4.56E+08
28.7,-3.16E+09,3.56E+09,3.92E+08
28.8,-2.94E+09,3.52E+09,5.86E+08
28.85,-2.81E+09,3.55E+09,7.35E+08
28.9,-2.57E+09,3.49E+09,9.20E+08
28.95,-2.61E+09,3.52E+09,9.04E+08
29,-2.25E+09,3.44E+09,1.19E+09
29.1,-1.54E+09,3.37E+09,1.84E+09
29.15,-2.21E+09,3.42E+09,1.21E+09
29.2,-1.78E+09,3.33E+09,1.55E+09
29.25,-1.89E+09,3.41E+09,1.52E+09
29.3,-1.78E+09,3.32E+09,1.54E+09
29.4,-1.67E+09,3.31E+09,1.64E+09
29.45,-1.78E+09,3.40E+09,1.62E+09
29.5,-1.62E+09,3.30E+09,1.68E+09
29.55,-1.62E+09,3.39E+09,1.76E+09
29.6,-1.58E+09,3.27E+09,1.69E+09
29.7,-1.50E+09,3.26E+09,1.76E+09
29.75,-1.38E+09,3.36E+09,1.98E+09
29.8,-1.38E+09,3.24E+09,1.87E+09
29.85,-1.26E+09,3.34E+09,2.08E+09
29.95,-1.16E+09,3.33E+09,2.17E+09
30,-1.20E+09,3.22E+09,2.02E+09
30.05,-1.10E+09,3.32E+09,2.22E+09
30.1,-1.14E+09,3.19E+09,2.05E+09
30.15,-9.87E+08,3.30E+09,2.31E+09
30.25,-9.73E+08,3.29E+09,2.32E+09
30.3,-9.22E+08,3.17E+09,2.25E+09
30.35,-9.16E+08,3.29E+09,2.37E+09
30.4,-8.64E+08,3.16E+09,2.29E+09
30.45,-8.55E+08,3.27E+09,2.42E+09
30.55,-7.88E+08,3.27E+09,2.48E+09
30.6,-7.97E+08,3.14E+09,2.34E+09
30.65,-7.35E+08,3.26E+09,2.53E+09
30.7,-7.39E+08,3.13E+09,2.39E+09
30.75,-7.32E+08,3.26E+09,2.53E+09
30.85,-7.07E+08,3.25E+09,2.54E+09
30.9,-6.88E+08,3.13E+09,2.44E+09
30.95,-6.77E+08,3.25E+09,2.58E+09
31,-6.74E+08,3.12E+09,2.45E+09
